age,gender,norm_educ,norm_income,party,prefsep_welfare,welfare_support
53,Hombre,0.6,0.5,cons,0,Mantener o Reducir
50,Hombre,0.8,1,lib,0,Mantener o Reducir
67,Mujer,0.7,0,ndp,1,Aumentar
31,Hombre,0.3,0.5,lib,-1,Mantener o Reducir
26,Mujer,0.8,0.75,lib,1,Aumentar
80,Hombre,0.9,1,other,0,Mantener o Reducir
47,Mujer,0.6,1,cons,-1,Mantener o Reducir
62,Hombre,0.4,0,cons,1,Aumentar
20,Mujer,0.7,1,other,0,Mantener o Reducir
59,Hombre,0.9,NA,cons,0,Mantener o Reducir
39,Hombre,0.6,1,ndp,0,Mantener o Reducir
27,Mujer,0.6,0.25,lib,0,Mantener o Reducir
21,Mujer,0.7,NA,lib,1,Aumentar
80,Hombre,0.9,1,ndp,0,Mantener o Reducir
55,Mujer,0.4,0.5,cons,-1,Mantener o Reducir
19,Mujer,0.3,0.25,lib,0,Mantener o Reducir
42,Mujer,0.4,0,other,0,Mantener o Reducir
22,Hombre,0.6,0.5,ndp,0,Mantener o Reducir
30,Mujer,0.5,0.5,ndp,1,Aumentar
35,Hombre,0.2,0,ndp,0,Mantener o Reducir
71,Mujer,0.7,0,cons,0,Mantener o Reducir
58,Mujer,0.8,0.25,lib,1,Aumentar
54,Hombre,0.4,0.5,lib,-1,Mantener o Reducir
40,Hombre,0.4,0.75,ndp,1,Aumentar
68,Mujer,0.6,0.25,ndp,0,Mantener o Reducir
22,Hombre,0.7,0.25,other,1,Aumentar
48,Mujer,0.4,0,ndp,1,Aumentar
69,Mujer,0.6,0.25,cons,-1,Mantener o Reducir
28,Hombre,0.8,0.25,ndp,1,Aumentar
68,Hombre,0.9,0.5,cons,0,Mantener o Reducir
60,Mujer,0.7,0,ndp,1,Aumentar
84,Mujer,0.6,0.25,ndp,1,Aumentar
61,Hombre,0.7,0,lib,1,Aumentar
19,Mujer,0.7,0.25,lib,0,Mantener o Reducir
45,Hombre,0.6,0.5,cons,0,Mantener o Reducir
74,Hombre,0.4,0.25,cons,0,Mantener o Reducir
36,Hombre,0.8,1,ndp,0,Mantener o Reducir
40,Hombre,0.7,0.25,other,1,Aumentar
43,Mujer,0.4,0.25,other,1,Aumentar
46,Mujer,0.8,0.5,cons,-1,Mantener o Reducir
35,Mujer,0.8,0.25,lib,1,Aumentar
38,Hombre,0.8,0,cons,0,Mantener o Reducir
56,Hombre,0.4,0.75,cons,0,Mantener o Reducir
75,Mujer,0.6,0.25,lib,0,Mantener o Reducir
69,Hombre,0.9,0.5,ndp,0,Mantener o Reducir
64,Mujer,0.5,0.25,cons,0,Mantener o Reducir
47,Mujer,0.5,0.25,ndp,1,Aumentar
25,Hombre,0.8,0.25,ndp,-1,Mantener o Reducir
53,Mujer,0.2,0.5,ndp,-1,Mantener o Reducir
64,Mujer,0.5,NA,ndp,0,Mantener o Reducir
19,Mujer,0.4,0.25,ndp,1,Aumentar
20,Hombre,0.4,0.25,other,1,Aumentar
50,Hombre,0.5,0.75,other,0,Mantener o Reducir
46,Hombre,0.6,1,lib,0,Mantener o Reducir
27,Mujer,0.8,0.25,cons,0,Mantener o Reducir
34,Mujer,0.5,0.25,other,1,Aumentar
28,Mujer,0.8,0.75,ndp,0,Mantener o Reducir
42,Hombre,0.8,0.75,ndp,1,Aumentar
55,Hombre,0.8,0.5,other,0,Mantener o Reducir
45,Hombre,0.5,0,lib,1,Aumentar
68,Mujer,0.7,0.5,cons,1,Aumentar
25,Mujer,1,0.5,other,1,Aumentar
21,Mujer,0.6,0.25,cons,0,Mantener o Reducir
31,Mujer,0.7,0,ndp,1,Aumentar
23,Mujer,0.7,0.5,ndp,0,Mantener o Reducir
59,Mujer,0.9,0.5,ndp,0,Mantener o Reducir
60,Hombre,1,0.25,ndp,1,Aumentar
56,Mujer,0.4,0,lib,1,Aumentar
37,Mujer,1,0.25,cons,0,Mantener o Reducir
51,Hombre,0.5,0.5,lib,0,Mantener o Reducir
20,Hombre,0.4,0,cons,-1,Mantener o Reducir
52,Hombre,0.6,0.5,ndp,0,Mantener o Reducir
21,Hombre,0.7,0.5,lib,1,Aumentar
72,Hombre,0.5,NA,ndp,-1,Mantener o Reducir
46,Hombre,0.8,1,lib,1,Aumentar
72,Hombre,0.4,0.25,cons,-1,Mantener o Reducir
67,Hombre,0.4,0.25,ndp,1,Aumentar
35,Mujer,0.8,0.5,ndp,1,Aumentar
53,Hombre,0.5,0,cons,1,Aumentar
67,Hombre,0.7,0,cons,0,Mantener o Reducir
20,Hombre,0.5,0.5,other,1,Aumentar
65,Mujer,0.5,0.25,ndp,1,Aumentar
29,Mujer,0.8,0.5,ndp,0,Mantener o Reducir
50,Hombre,0.9,1,ndp,0,Mantener o Reducir
70,Hombre,0.4,0.5,cons,0,Mantener o Reducir
36,Mujer,0.7,0.25,cons,0,Mantener o Reducir
39,Mujer,0.6,0,other,1,Aumentar
51,Mujer,0.8,0.25,cons,-1,Mantener o Reducir
61,Hombre,0.3,0.25,cons,0,Mantener o Reducir
49,Mujer,0.6,0.5,cons,-1,Mantener o Reducir
36,Mujer,1,NA,lib,-1,Mantener o Reducir
77,Mujer,0.6,0.25,lib,0,Mantener o Reducir
31,Mujer,0.8,0.5,lib,-1,Mantener o Reducir
63,Mujer,0.3,1,cons,-1,Mantener o Reducir
23,Mujer,0.8,1,lib,0,Mantener o Reducir
54,Mujer,0.8,0.5,ndp,1,Aumentar
63,Hombre,0.6,0,lib,1,Aumentar
43,Hombre,0.3,0.5,lib,1,Aumentar
67,Hombre,0.7,0,cons,0,Mantener o Reducir
61,Mujer,0.8,0,other,1,Aumentar
26,Hombre,0.8,0.25,lib,1,Aumentar
56,Mujer,0.6,0,other,-1,Mantener o Reducir
48,Mujer,0.7,0.5,cons,0,Mantener o Reducir
63,Hombre,0.8,0.25,lib,0,Mantener o Reducir
41,Mujer,0.8,0.5,cons,0,Mantener o Reducir
67,Mujer,0.8,0,ndp,1,Aumentar
18,Mujer,0.4,0.75,cons,1,Aumentar
53,Mujer,0.6,0.25,other,0,Mantener o Reducir
40,Mujer,0.8,0.5,lib,1,Aumentar
70,Mujer,0.9,0.5,other,1,Aumentar
47,Hombre,0.8,0.5,lib,1,Aumentar
44,Mujer,0.7,0.5,cons,-1,Mantener o Reducir
63,Hombre,0.3,0.25,lib,0,Mantener o Reducir
54,Hombre,0.4,0,lib,1,Aumentar
